Press Perturbations,Node,Press,Perturbation,,Press,Highly influential,Less influential,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abundance,-1,Negative,could be -1 or 0,-1,0,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,,
2,CO2,1,Positive,,1,1,0,-113604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Contaminants,1,Positive,,1,1,0,,Highly Influential,0,1,1,-1,-1,0,0,-1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Diatoms,-1,Negative,,-1,-1,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,1,0,-1,0,1,0,0,0,1,1,0,0,0,0,0,-1
5,Disease,1,Positive,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dissolved Oxygen,-1,Negative,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fitness,-1,Negative,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Forage Fish,-1,Negative,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gelatinous Zoops,1,Positive,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Global Warming,1,Positive,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Habitat Loss,1,Positive,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Harvest,1,Positive,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Hatcheries,1,Positive,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ichthyoplankton,-1,Negative,,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Marine Mammals,1,Positive,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Microbial Detritivores,1,Positive,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Microplankton,1,Positive,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nutrients,1,Positive,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Other Salmon,1,Positive,could be -1 or 0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Piscivorous Birds,-1,Negative,,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Piscivorous Fish,-1,Negative,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Precipitation,1,Positive,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
23,Residency,-1,Negative,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,River Flow,1,Positive,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Size,-1,Negative,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Stratification,1,Positive,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sunlight,1,Positive,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Survival,-1,Negative,could be 1 or 0,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Temperature,1,Positive,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Turbidity,-1,Negative,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Upwelling,-1,Negative,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Weather Patterns,1,Positive,could be 0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Zooplankton,-1,Negative,,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
